"filename", "language", "C++", "comment", "blank", "total"
"/home/brandon/Desktop/Dev/GameEngine/include/core/components/camera_component.h", "C++", 7, 4, 3, 14
"/home/brandon/Desktop/Dev/GameEngine/include/core/components/controller_component.h", "C++", 5, 0, 0, 5
"/home/brandon/Desktop/Dev/GameEngine/include/core/components/shader_component.h", "C++", 13, 0, 1, 14
"/home/brandon/Desktop/Dev/GameEngine/include/core/components/static_mesh_component.h", "C++", 17, 0, 1, 18
"/home/brandon/Desktop/Dev/GameEngine/include/core/components/transform_component.h", "C++", 9, 0, 0, 9
"/home/brandon/Desktop/Dev/GameEngine/include/core/core.h", "C++", 4, 0, 0, 4
"/home/brandon/Desktop/Dev/GameEngine/include/core/core_components.h", "C++", 6, 0, 0, 6
"/home/brandon/Desktop/Dev/GameEngine/include/core/core_systems.h", "C++", 5, 0, 0, 5
"/home/brandon/Desktop/Dev/GameEngine/include/core/systems/camera_system.h", "C++", 0, 18, 3, 21
"/home/brandon/Desktop/Dev/GameEngine/include/core/systems/controller_system.h", "C++", 22, 1, 3, 26
"/home/brandon/Desktop/Dev/GameEngine/include/core/systems/mesh_loader_system.h", "C++", 17, 3, 3, 23
"/home/brandon/Desktop/Dev/GameEngine/include/core/systems/render_system.h", "C++", 14, 3, 3, 20
"/home/brandon/Desktop/Dev/GameEngine/include/core/systems/shader_loader_system.h", "C++", 91, 6, 15, 112
"/home/brandon/Desktop/Dev/GameEngine/include/ecs/component/component.hpp", "C++", 6, 7, 4, 17
"/home/brandon/Desktop/Dev/GameEngine/include/ecs/component/component_array.hpp", "C++", 54, 16, 18, 88
"/home/brandon/Desktop/Dev/GameEngine/include/ecs/component/component_manager.hpp", "C++", 66, 10, 20, 96
"/home/brandon/Desktop/Dev/GameEngine/include/ecs/coordinator/coordinator.cpp", "C++", 11, 0, 3, 14
"/home/brandon/Desktop/Dev/GameEngine/include/ecs/coordinator/coordinator.hpp", "C++", 86, 8, 22, 116
"/home/brandon/Desktop/Dev/GameEngine/include/ecs/entity/entity.hpp", "C++", 4, 3, 3, 10
"/home/brandon/Desktop/Dev/GameEngine/include/ecs/entity/entity_manager.hpp", "C++", 57, 16, 23, 96
"/home/brandon/Desktop/Dev/GameEngine/include/ecs/system/system.hpp", "C++", 16, 4, 4, 24
"/home/brandon/Desktop/Dev/GameEngine/include/ecs/system/system_manager.hpp", "C++", 28, 46, 15, 89
"/home/brandon/Desktop/Dev/GameEngine/include/helpers/controls.h", "C++", 24, 1, 5, 30
"/home/brandon/Desktop/Dev/GameEngine/include/models/Face.h", "C++", 6, 0, 0, 6
"/home/brandon/Desktop/Dev/GameEngine/include/models/Mesh.h", "C++", 22, 1, 2, 25
"/home/brandon/Desktop/Dev/GameEngine/include/models/Vertex.h", "C++", 4, 0, 2, 6
"Total", "-", 594, 147, 153, 894
